ExtensionID,ExtensionURL,ExtensionName
fcfhplploccackoneaefokcmbjfbkenj,https://chrome.google.com/webstore/detail/fcfhplploccackoneaefokcmbjfbkenj,Free VPN for Chrome by 1clickvpn
hipncndjamdcmphkgngojegjblibadbe,https://chrome.google.com/webstore/detail/hipncndjamdcmphkgngojegjblibadbe,Free VPN Proxy and ad blocker - Planet VPN
fdcgdnkidjaadafnichfpabhfomcebme,https://chrome.google.com/webstore/detail/fdcgdnkidjaadafnichfpabhfomcebme,
jcbiifklmgnkppebelchllpdbnibihel,https://chrome.google.com/webstore/detail/jcbiifklmgnkppebelchllpdbnibihel,Free VPN - Free VPN for Chrome
mpeepmfabickbdbckcejbflkpfamgcon,https://chrome.google.com/webstore/detail/mpeepmfabickbdbckcejbflkpfamgcon,Grammar Checker
kbfnbcaeplbcioakkpcpgfkobkghlhen,https://chrome.google.com/webstore/detail/kbfnbcaeplbcioakkpcpgfkobkghlhen,Grammarly: AI Writing and Grammar Checker App
eanggfilgoajaocelnaflolkadkeghjp,https://chrome.google.com/webstore/detail/eanggfilgoajaocelnaflolkadkeghjp,"HARPA AI | ChatGPT, Claude, Gemini, DeepSeek & Perplexity Automation Agent"
nbcojefnccbanplpoffopkoepjmhgdgh,https://chrome.google.com/webstore/detail/nbcojefnccbanplpoffopkoepjmhgdgh,Hoxx VPN Proxy
dpggmcodlahmljkhlmpgpdcffdaoccni,https://chrome.google.com/webstore/detail/dpggmcodlahmljkhlmpgpdcffdaoccni,"Internxt VPN - Free, Encrypted & Unlimited VPN"
lblebdecfhdegbeoejplcpmhibbkbkin,https://chrome.google.com/webstore/detail/lblebdecfhdegbeoejplcpmhibbkbkin,Ivacy VPN - Best Free VPN to Unblock Websites
apmicgkbejflkgeljipcebaoeigmangd,https://chrome.google.com/webstore/detail/apmicgkbejflkgeljipcebaoeigmangd,Keep Awake (Display | System)
kioaomfokioenhackhaijiebhhkkcojo,https://chrome.google.com/webstore/detail/kioaomfokioenhackhaijiebhhkkcojo,Keep Awake your System or Display
hjfibcmcdbeaikcglnhineogdmpdchio,https://chrome.google.com/webstore/detail/hjfibcmcdbeaikcglnhineogdmpdchio,Keep Awake
inglelmldhjcljkomheneakjkpadclhf,https://chrome.google.com/webstore/detail/inglelmldhjcljkomheneakjkpadclhf,Keep Awake
imbpigcghoambmanjekibelfjemnnool,https://chrome.google.com/webstore/detail/imbpigcghoambmanjekibelfjemnnool,Keep Computer Awake (for a While)
mpcaainmfjjigeicjnlkdfajbioopjko,https://chrome.google.com/webstore/detail/mpcaainmfjjigeicjnlkdfajbioopjko,KeepSolid VPN Unlimited® - Best Proxy for Chrome
mbniclmhobmnbdlbpiphghaielnnpgdp,https://chrome.google.com/webstore/detail/mbniclmhobmnbdlbpiphghaielnnpgdp,Lightshot (screenshot tool)
bmhcbmnbenmcecpmpepghooflbehcack,https://chrome.google.com/webstore/detail/bmhcbmnbenmcecpmpepghooflbehcack,Liner: ChatGPT AI Copilot for Web&YouTube&PDF
ndgklmlnheedegipcohgcbjhhgddendc,https://chrome.google.com/webstore/detail/ndgklmlnheedegipcohgcbjhhgddendc,Linguix: Grammar Checker and AI Writing App
mhnlakgilnojmhinhkckjpncpbhabphi,https://chrome.google.com/webstore/detail/mhnlakgilnojmhinhkckjpncpbhabphi,"MaxAI: Ask AI anything as you browse (GPT, Gemini, Claude, Grok, etc.)"
